Date,Open,High,Low,Close,Adj Close,Volume
2010-03-08,8.500000,9.090000,8.430000,8.930000,8.930000,69872100
2010-03-15,8.880000,9.740000,8.800000,9.110000,9.110000,94070300
2010-03-22,8.910000,9.490000,8.790000,9.020000,9.020000,65802600
2010-03-29,9.080000,9.490000,9.060000,9.370000,9.370000,47681000
2010-04-05,9.470000,9.830000,9.180000,9.300000,9.300000,104033300
2010-04-12,9.370000,10.240000,9.350000,9.810000,9.810000,183759200
2010-04-19,9.730000,9.910000,9.290000,9.760000,9.760000,118995600
2010-04-26,9.800000,10.150000,9.060000,9.070000,9.070000,126858100
2010-05-03,9.180000,9.380000,7.810000,8.380000,8.380000,204089400
2010-05-10,8.920000,9.780000,8.310000,8.800000,8.800000,201566000
2010-05-17,8.750000,9.010000,7.750000,8.400000,8.400000,164537500
2010-05-24,8.320000,8.870000,7.680000,8.570000,8.570000,144689200
2010-05-31,8.430000,8.730000,8.010000,8.110000,8.110000,115550400
2010-06-07,8.200000,8.220000,7.420000,8.120000,8.120000,137045000
2010-06-14,8.310000,9.190000,8.240000,8.830000,8.830000,129308900
2010-06-21,9.030000,9.160000,7.930000,8.090000,8.090000,126930800
2010-06-28,8.140000,8.240000,7.020000,7.170000,7.170000,145176300
2010-07-05,7.400000,7.520000,6.960000,7.340000,7.340000,91765700
2010-07-12,7.380000,7.820000,7.110000,7.370000,7.370000,248579300
2010-07-19,7.410000,7.840000,7.150000,7.820000,7.820000,140451200
2010-07-26,7.820000,8.250000,7.410000,7.490000,7.490000,173977100
2010-08-02,7.630000,7.770000,7.410000,7.450000,7.450000,115852800
2010-08-09,7.480000,7.520000,6.260000,6.490000,6.490000,241699600
2010-08-16,6.470000,6.770000,6.190000,6.250000,6.250000,99539800
2010-08-23,6.300000,6.360000,5.530000,6.080000,6.080000,161032600
2010-08-30,6.020000,6.120000,5.570000,6.090000,6.090000,133890100
2010-09-06,6.040000,6.180000,5.670000,5.810000,5.810000,81392200
2010-09-13,5.890000,6.470000,5.890000,6.120000,6.120000,145566300
2010-09-20,6.160000,6.850000,6.020000,6.840000,6.840000,164020800
2010-09-27,6.920000,7.440000,6.840000,7.050000,7.050000,198765000
2010-10-04,7.030000,7.120000,6.770000,7.050000,7.050000,129205900
2010-10-11,7.100000,7.480000,7.000000,7.120000,7.120000,158692600
2010-10-18,7.110000,7.140000,6.790000,6.890000,6.890000,155934600
2010-10-25,6.960000,7.680000,6.940000,7.340000,7.340000,130929800
2010-11-01,7.480000,8.160000,7.300000,8.040000,8.040000,117010200
2010-11-08,8.030000,8.240000,7.460000,7.630000,7.630000,154919800
2010-11-15,7.750000,7.820000,7.240000,7.470000,7.470000,88888500
2010-11-22,7.440000,7.670000,7.260000,7.550000,7.550000,40817100
2010-11-29,7.470000,7.700000,7.260000,7.650000,7.650000,89150400
2010-12-06,7.650000,8.230000,7.610000,8.070000,8.070000,106620400
2010-12-13,8.130000,8.430000,7.860000,8.100000,8.100000,98417600
2010-12-20,8.090000,8.320000,7.950000,8.040000,8.040000,43717000
2010-12-27,8.000000,8.190000,7.930000,8.180000,8.180000,35742200
2011-01-03,8.440000,8.950000,8.390000,8.830000,8.830000,102746200
2011-01-10,9.050000,9.250000,8.050000,8.200000,8.200000,228447700
2011-01-17,8.200000,8.240000,7.510000,7.540000,7.540000,134246100
2011-01-24,7.530000,7.830000,7.340000,7.490000,7.490000,153062900
2011-01-31,7.550000,8.600000,7.500000,8.400000,8.400000,163290100
2011-02-07,8.470000,8.490000,8.030000,8.280000,8.280000,82096300
2011-02-14,8.260000,9.580000,8.250000,9.180000,9.180000,200135400
2011-02-21,8.880000,9.450000,8.370000,9.290000,9.290000,134839400
2011-02-28,9.340000,9.390000,9.000000,9.230000,9.230000,104049400
2011-03-07,9.190000,9.220000,8.260000,8.650000,8.650000,120799800
2011-03-14,8.560000,8.750000,7.930000,8.550000,8.550000,94024800
2011-03-21,8.730000,8.900000,8.280000,8.880000,8.880000,74147400
2011-03-28,8.890000,8.890000,8.270000,8.360000,8.360000,80159700
2011-04-04,8.400000,8.540000,8.010000,8.470000,8.470000,108685300
2011-04-11,8.460000,8.580000,8.020000,8.270000,8.270000,66837400
2011-04-18,8.110000,8.770000,8.010000,8.710000,8.710000,68935900
2011-04-25,8.670000,9.140000,8.420000,9.100000,9.100000,84983700
2011-05-02,9.160000,9.170000,8.630000,8.920000,8.920000,77032500
2011-05-09,8.930000,9.070000,8.720000,8.900000,8.900000,69553100
2011-05-16,8.770000,8.950000,8.380000,8.620000,8.620000,86939900
2011-05-23,8.490000,8.690000,8.310000,8.490000,8.490000,62587000
2011-05-30,8.560000,8.710000,7.920000,7.970000,7.970000,61288700
2011-06-06,7.970000,7.990000,7.440000,7.590000,7.590000,87470400
2011-06-13,7.600000,7.790000,6.960000,7.000000,7.000000,118897100
2011-06-20,6.960000,7.250000,6.720000,6.900000,6.900000,129164800
2011-06-27,6.910000,7.130000,6.790000,7.110000,7.110000,110457800
2011-07-04,7.110000,7.200000,6.920000,6.950000,6.950000,61809700
2011-07-11,6.800000,6.900000,6.310000,6.430000,6.430000,116862300
2011-07-18,6.370000,7.790000,6.090000,7.750000,7.750000,190778600
2011-07-25,7.620000,7.870000,7.210000,7.340000,7.340000,114893900
2011-08-01,7.540000,7.580000,6.160000,6.560000,6.560000,162067300
2011-08-08,6.030000,6.420000,5.600000,6.210000,6.210000,143499500
