Date,Open,High,Low,Close,Adj Close,Volume
2010-03-08,1.000000,1.170000,0.990000,1.080000,1.080000,210459300
2010-03-15,1.070000,1.150000,1.030000,1.150000,1.150000,128047200
2010-03-22,1.100000,1.130000,1.050000,1.060000,1.060000,126391400
2010-03-29,1.080000,1.080000,1.020000,1.020000,1.020000,40036000
2010-04-05,1.050000,1.140000,1.040000,1.100000,1.100000,95771200
2010-04-12,1.100000,1.360000,1.100000,1.240000,1.240000,468023900
2010-04-19,1.210000,1.280000,1.180000,1.240000,1.240000,107826600
2010-04-26,1.260000,1.320000,1.200000,1.220000,1.220000,126815900
2010-05-03,1.230000,1.230000,0.990000,1.030000,1.030000,161120100
2010-05-10,1.110000,1.140000,1.010000,1.010000,1.010000,113800900
2010-05-17,1.020000,1.020000,0.880000,0.960000,0.960000,140067000
2010-05-24,0.970000,1.000000,0.890000,0.980000,0.980000,72381200
2010-05-31,0.970000,0.990000,0.920000,0.930000,0.930000,45617700
2010-06-07,0.930000,0.940000,0.900000,0.930000,0.930000,40021100
2010-06-14,0.940000,0.940000,0.350000,0.350000,0.350000,592993600
2010-06-21,0.360000,0.450000,0.360000,0.390000,0.390000,167522500
2010-06-28,0.390000,0.400000,0.320000,0.330000,0.330000,84040600
2010-07-05,0.340000,0.340000,0.020000,0.270000,0.270000,202320700
2010-07-12,0.280000,0.400000,0.270000,0.300000,0.300000,128387400
2010-07-19,0.300000,0.310000,0.270000,0.280000,0.280000,35521600
2010-07-26,0.270000,0.450000,0.270000,0.390000,0.390000,126522200
2010-08-02,0.400000,0.420000,0.360000,0.390000,0.390000,64417400
2010-08-09,0.390000,0.390000,0.360000,0.380000,0.380000,28702200
2010-08-16,0.370000,0.380000,0.300000,0.320000,0.320000,42936700
2010-08-23,0.320000,0.340000,0.290000,0.330000,0.330000,20433000
2010-08-30,0.330000,0.330000,0.280000,0.310000,0.310000,14012600
2010-09-06,0.310000,0.310000,0.280000,0.280000,0.280000,17514400
2010-09-13,0.280000,0.290000,0.220000,0.230000,0.230000,97442100
2010-09-20,0.240000,0.280000,0.230000,0.260000,0.260000,38490300
2010-09-27,0.270000,0.320000,0.260000,0.280000,0.280000,61908300
2010-10-04,0.280000,0.300000,0.270000,0.290000,0.290000,29100600
2010-10-11,0.300000,0.390000,0.290000,0.380000,0.380000,68761000
2010-10-18,0.380000,0.470000,0.360000,0.360000,0.360000,107959900
2010-10-25,0.360000,0.400000,0.330000,0.380000,0.380000,40225300
2010-11-01,0.380000,0.390000,0.370000,0.390000,0.390000,25655900
2010-11-08,0.390000,0.390000,0.360000,0.370000,0.370000,25110600
2010-11-15,0.370000,0.370000,0.350000,0.350000,0.350000,22330100
2010-11-22,0.350000,0.360000,0.340000,0.340000,0.340000,15728100
2010-11-29,0.330000,0.350000,0.320000,0.320000,0.320000,14772600
2010-12-06,0.320000,0.330000,0.310000,0.310000,0.310000,13982900
2010-12-13,0.310000,0.320000,0.290000,0.300000,0.300000,17535900
2010-12-20,0.300000,0.360000,0.300000,0.320000,0.320000,32138400
2010-12-27,0.320000,0.320000,0.300000,0.300000,0.300000,26338600
2011-01-03,0.300000,0.350000,0.300000,0.330000,0.330000,27480400
2011-01-10,0.340000,0.340000,0.320000,0.320000,0.320000,19260000
2011-01-17,0.330000,0.390000,0.310000,0.390000,0.390000,36383200
2011-01-24,0.390000,0.650000,0.390000,0.510000,0.510000,205919000
2011-01-31,0.510000,0.960000,0.500000,0.680000,0.680000,203707200
2011-02-07,0.710000,0.920000,0.500000,0.570000,0.570000,292994100
2011-02-14,0.530000,0.630000,0.400000,0.580000,0.580000,201649100
2011-02-21,0.560000,0.600000,0.550000,0.560000,0.560000,54103500
2011-02-28,0.560000,0.560000,0.450000,0.480000,0.480000,68998600
2011-03-07,0.480000,0.480000,0.400000,0.410000,0.410000,54923800
2011-03-14,0.410000,0.440000,0.350000,0.360000,0.360000,83491000
2011-03-21,0.390000,0.410000,0.370000,0.400000,0.400000,27492200
2011-03-28,0.400000,0.440000,0.380000,0.400000,0.400000,19262800
2011-04-04,0.390000,0.420000,0.380000,0.390000,0.390000,16830600
2011-04-11,0.390000,0.400000,0.390000,0.400000,0.400000,8849600
2011-04-18,0.400000,0.400000,0.380000,0.380000,0.380000,8299700
2011-04-25,0.380000,0.440000,0.370000,0.440000,0.440000,22581500
2011-05-02,0.450000,0.500000,0.410000,0.430000,0.430000,62985300
2011-05-09,0.420000,0.440000,0.390000,0.390000,0.390000,30542500
2011-05-16,0.390000,0.410000,0.370000,0.390000,0.390000,24116200
2011-05-23,0.400000,0.400000,0.370000,0.380000,0.380000,11403700
2011-05-30,0.380000,0.400000,0.370000,0.370000,0.370000,6569500
2011-06-06,0.370000,0.380000,0.320000,0.330000,0.330000,28852300
2011-06-13,0.330000,0.350000,0.320000,0.330000,0.330000,12520400
2011-06-20,0.330000,0.340000,0.320000,0.330000,0.330000,9483300
2011-06-27,0.330000,0.340000,0.330000,0.330000,0.330000,8422600
2011-07-04,0.330000,0.390000,0.330000,0.350000,0.350000,17699000
2011-07-11,0.350000,0.360000,0.340000,0.340000,0.340000,7497100
2011-07-18,0.340000,0.350000,0.330000,0.340000,0.340000,10770800
2011-07-25,0.340000,0.350000,0.310000,0.330000,0.330000,13692600
2011-08-01,0.330000,0.350000,0.280000,0.300000,0.300000,21571800
2011-08-08,0.250000,0.300000,0.240000,0.280000,0.280000,34321800
2011-08-15,0.300000,0.310000,0.260000,0.270000,0.270000,12704400
2011-08-22,0.270000,0.280000,0.250000,0.270000,0.270000,9905500
2011-08-29,0.270000,0.340000,0.270000,0.320000,0.320000,20878100
2011-09-05,0.320000,0.350000,0.290000,0.290000,0.290000,15850700
2011-09-12,0.290000,0.300000,0.270000,0.270000,0.270000,16217700
2011-09-19,0.280000,0.280000,0.250000,0.260000,0.260000,13538400
2011-09-26,0.260000,0.270000,0.230000,0.240000,0.240000,24202900
2011-10-03,0.240000,0.250000,0.210000,0.230000,0.230000,21557500
2011-10-10,0.230000,0.250000,0.210000,0.230000,0.230000,11322700
2011-10-17,0.230000,0.240000,0.220000,0.230000,0.230000,8920600
2011-10-24,0.230000,0.270000,0.230000,0.250000,0.250000,20014400
2011-10-31,0.250000,0.260000,0.240000,0.240000,0.240000,8721700
2011-11-07,0.240000,0.240000,0.220000,0.220000,0.220000,13997800
2011-11-14,0.230000,0.230000,0.210000,0.210000,0.210000,7775800
2011-11-21,0.210000,0.220000,0.200000,0.200000,0.200000,7015600
2011-11-28,0.200000,0.210000,0.200000,0.200000,0.200000,10855200
2011-12-05,0.200000,0.250000,0.190000,0.220000,0.220000,19829800
2011-12-12,0.210000,0.220000,0.200000,0.200000,0.200000,8951100
2011-12-19,0.200000,0.240000,0.190000,0.240000,0.240000,27801500
2011-12-26,0.220000,0.240000,0.200000,0.200000,0.200000,29385900
2012-01-02,0.210000,0.210000,0.200000,0.200000,0.200000,8109300
2012-01-09,0.210000,0.260000,0.200000,0.230000,0.230000,31498600
2012-01-16,0.230000,0.250000,0.230000,0.240000,0.240000,8790300
2012-01-23,0.230000,0.240000,0.210000,0.230000,0.230000,8951200
2012-01-30,0.220000,0.250000,0.210000,0.240000,0.240000,14158600
2012-02-06,0.240000,0.330000,0.230000,0.300000,0.300000,77203800
2012-02-13,0.290000,0.410000,0.290000,0.380000,0.380000,71706900
2012-02-20,0.380000,0.380000,0.270000,0.320000,0.320000,56393000
