Date,Open,High,Low,Close,Adj Close,Volume
2010-02-08,42.200001,42.200001,39.000000,40.400002,31.919228,213512
2010-02-09,40.799999,41.500000,39.799999,40.900002,32.314262,229818
2010-02-10,40.099998,42.299999,40.099998,41.099998,32.472275,340263
2010-02-11,41.700001,42.200001,39.799999,41.200001,32.551285,248399
2010-02-12,41.299999,41.299999,36.700001,37.400002,29.548985,2951661
2010-02-15,37.099998,37.599998,36.500000,37.000000,29.232952,545995
2010-02-16,37.099998,37.400002,35.700001,36.099998,28.521879,1374774
2010-02-17,36.700001,38.000000,35.799999,37.400002,29.548985,2123474
2010-02-18,37.400002,37.400002,36.700001,37.000000,29.232952,709459
2010-02-19,37.000000,37.700001,36.500000,37.299999,29.469976,243548
2010-02-22,37.299999,37.400002,36.599998,36.700001,28.995930,485019
2010-02-23,36.700001,36.900002,32.500000,36.200001,28.600889,908992
2010-02-24,35.900002,36.700001,35.200001,36.000000,28.442873,749704
2010-02-25,36.000000,36.599998,35.299999,35.799999,28.284855,511787
2010-02-26,35.900002,36.799999,35.299999,35.900002,28.363869,311390
2010-03-01,35.900002,37.500000,35.900002,37.400002,29.548985,523576
2010-03-02,37.700001,38.000000,36.799999,38.000000,30.023033,331501
2010-03-03,38.000000,39.200001,37.799999,39.200001,30.971127,1192634
2010-03-04,39.000000,39.099998,38.000000,38.400002,30.339064,2101732
2010-03-05,38.000000,39.000000,37.700001,38.000000,30.023033,585164
2010-03-08,37.799999,38.599998,37.799999,38.400002,30.339064,114213
2010-03-09,38.400002,39.200001,37.799999,38.900002,30.734104,567887
2010-03-10,39.000000,40.299999,39.000000,39.799999,31.445173,2617935
2010-03-11,39.799999,40.000000,39.299999,39.700001,31.366169,253744
2010-03-12,39.799999,40.900002,39.299999,40.900002,32.314262,977433
2010-03-15,40.500000,41.900002,39.500000,40.599998,32.077244,998780
2010-03-16,40.599998,41.000000,40.099998,40.799999,32.235256,377640
2010-03-17,41.000000,41.299999,40.099998,40.599998,32.077244,319678
2010-03-18,39.900002,40.599998,39.900002,40.000000,31.603189,160759
2010-03-19,40.000000,42.500000,40.000000,42.000000,33.183350,846504
2010-03-22,41.900002,42.200001,41.099998,42.000000,33.183350,594272
2010-03-23,41.599998,43.400002,41.599998,42.700001,33.736408,580255
2010-03-24,42.099998,43.000000,42.099998,42.599998,33.657398,449263
2010-03-25,42.599998,43.000000,42.099998,42.400002,33.499382,285686
2010-03-26,41.799999,43.000000,40.900002,42.400002,33.499382,336816
2010-03-29,42.000000,42.299999,41.200001,41.400002,32.709305,331294
2010-03-30,41.099998,41.599998,38.900002,39.099998,30.892117,478012
2010-03-31,38.000000,39.200001,37.400002,38.599998,30.497078,1159507
2010-04-01,38.400002,39.900002,38.400002,39.900002,31.524185,129539
2010-04-06,39.900002,41.000000,39.900002,40.099998,31.682198,215456
2010-04-07,39.799999,40.400002,39.400002,39.599998,31.287153,335567
2010-04-08,39.400002,39.700001,38.799999,39.599998,31.287153,336609
2010-04-09,39.599998,39.700001,39.099998,39.400002,31.129145,196584
2010-04-12,39.200001,40.099998,39.000000,39.000000,30.813112,169008
2010-04-13,39.000000,39.099998,37.799999,38.799999,30.655092,625415
2010-04-14,38.599998,38.799999,37.799999,38.400002,30.339064,231599
2010-04-15,38.099998,38.599998,37.799999,38.500000,30.418076,246668
